ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
N/A	2013	28-JUN-13	SANTA BARBARA	42S06N33W12	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MONTEREY CROP OIL	9.9332	N/A	N/A	11	A	G
NO	2013	19-MAR-13	SANTA BARBARA	42S06N31W11	APPLE	LEAF LIFE GAVICIDE GREEN 415	63.8819	MINERAL OIL	62.604262	6	A	G
N/A	2013	18-FEB-13	SANTA BARBARA	42S06N32W36	APRICOT	MILLER NU FILM P	.0078	N/A	N/A	.11	A	G
NO	2013	31-MAY-13	SANTA BARBARA	42S05N30W35	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	108.2933	MINERAL OIL	106.127434	7	A	G
NO	2013	29-MAY-13	SANTA BARBARA	42S05N29W34	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	3712.9142	MINERAL OIL	3638.655916	240	A	G
NO	2013	15-AUG-13	SANTA BARBARA	42S04N25W34	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	7.7352	MINERAL OIL	7.580496	2	A	G
NO	2013	31-MAY-13	SANTA BARBARA	42S04N28W02	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	309.4095	MINERAL OIL	303.22131	20	A	G
NO	2013	31-MAY-13	SANTA BARBARA	42S05N30W26	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	2320.5714	MINERAL OIL	2274.159972	15	A	G
NO	2013	13-JUN-13	SANTA BARBARA	42S04N29W12	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	123.7638	MINERAL OIL	121.288524	8	A	G
NO	2013	31-MAY-13	SANTA BARBARA	42S05N30W34	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	108.2933	MINERAL OIL	106.127434	7	A	G
